name,accuracy_16feat,f1_macro_16feat,f1_entailment_16feat,f1_neutral_16feat,f1_contradiction_16feat,accuracy_12feat,f1_macro_12feat,f1_entailment_12feat,f1_neutral_12feat,f1_contradiction_12feat,accuracy_gain_vs_best_base_16feat,f1_macro_gain_vs_best_base_16feat,f1_entailment_gain_vs_best_base_16feat,f1_neutral_gain_vs_best_base_16feat,f1_contradiction_gain_vs_best_base_16feat
Meta_BiLSTM,0.8511323268206039,0.8511011448611989,0.8525146559703796,0.8452934090517983,0.8554953695614188,0.8460257548845471,0.8459320806573882,0.8491499227202473,0.8382883656985737,0.8503579535533438,0.03253232682060392,0.033049187891106224,0.02654142932012571,0.043697471438450486,0.028908662914742145
Meta_MLP,0.8502442273534636,0.8501784401726087,0.8522114347357066,0.8427238161078465,0.8556000696742728,0.8481349911190054,0.8480981176106465,0.8497457235321313,0.84,0.8545486292998079,0.031644227353463616,0.03212648320251599,0.02623820808545274,0.041127878494498726,0.029013363027596162
Meta_FlatLSTM,0.8500222024866785,0.849986720931632,0.8514118191637093,0.8426501035196687,0.8558982401115177,0.8465808170515098,0.8464462426493308,0.8505640550146809,0.838809564768622,0.8499651081646895,0.031422202486678485,0.03193476396153927,0.025438592513455482,0.04105416590632094,0.029311533464841055
Meta_LinearSVC,0.8390319715808171,0.8388126537131021,0.8452900810979413,0.8259220958290244,0.8452257842123406,0.8392539964476021,0.8390479624744859,0.8449781659388647,0.8266344661031568,0.8455312553814363,0.02043197158081711,0.0207606967430094,0.019316854447687493,0.02432615821567663,0.018639077565663964
Qwen,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643,-0.0029916518650088264,-0.0030604743174081905,-0.0028916188548823163,-0.002893468700030044,-0.0033963353973123223
Weighted_static_hand_weights,0.8138321492007105,0.8123139614442669,0.8223865448745832,0.7816222348269994,0.8329331046312178,0.8138321492007105,0.8123139614442669,0.8223865448745832,0.7816222348269994,0.8329331046312178,-0.004767850799289541,-0.0057379955258257676,-0.003586681775670675,-0.019973702786348357,0.006346397984541174
mDeBERTa,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866,-0.022085790408525763,-0.02457688684761461,0.00011372987148527969,-0.050745275987638894,-0.023099114426690104
Class_conditional_routing_computed,0.7734236234458259,0.7704877583894604,0.8230816077953715,0.7269076305220884,0.7614740368509213,0.7734236234458259,0.7704877583894604,0.8230816077953715,0.7269076305220884,0.7614740368509213,-0.04517637655417406,-0.04756419858063232,-0.0028916188548823163,-0.0746883070912594,-0.06511266979575536
