source,name,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
base_4models_data,Qwen 2 7B Instruct,0.8186,0.8180519569700927,0.8259732266502539,0.8015959376133478,0.8265867066466767
base_4models_data,Gemma 3 27B IT,0.8134,0.8121767314714585,0.8166948674562888,0.7638942123418935,0.8559411146161935
base_4models_data,mDeBERTa-v3-base-mnli-xnli,0.7965,0.7935142625188152,0.8257396449704142,0.7511808048365766,0.803622337749455
base_4models_data,BERT (allnli_tr),0.7501,0.7434,0.83,0.65,0.74
