method_norm,model_id_data,accuracy_12feat,accuracy_16feat,accuracy_data,f1_macro_12feat,f1_macro_16feat,f1_macro_data,f1_entailment_12feat,f1_entailment_16feat,f1_entailment_data,f1_neutral_12feat,f1_neutral_16feat,f1_neutral_data,f1_contradiction_12feat,f1_contradiction_16feat,f1_contradiction_data
Qwen,Qwen2-7B-Instruct,0.8156083481349912,0.8156083481349912,0.8187166962699822,0.8149914826526845,0.8149914826526845,0.8180519569700927,0.8230816077953715,0.8230816077953715,0.8259732266502539,0.7987024689133178,0.7987024689133178,0.8015959376133478,0.8231903712493643,0.8231903712493643,0.8265867066466767
mDeBERTa,mDeBERTa-v3-base-mnli-xnli,0.7965142095914742,0.7965142095914742,0.7965142095914742,0.7934750701224781,0.7934750701224781,0.7935142625188152,0.8260869565217391,0.8260869565217391,0.8257396449704142,0.7508506616257089,0.7508506616257089,0.7511808048365766,0.8034875922199866,0.8034875922199866,0.803622337749455
BERT,bert-base-turkish-cased,0.6591918294849023,0.6591918294849023,0.3322602131438721,0.6391899507363303,0.6391899507363303,0.3141356155789105,0.7219348525094366,0.7219348525094366,0.1798724954462659,0.491156462585034,0.491156462585034,0.3605492396279344,0.7044785371145204,0.7044785371145204,0.401985111662531
Gemma,gemma-2-2b-it,0.3993117229129662,0.3993117229129662,0.7919626998223801,0.3578931802288022,0.3578931802288022,0.7918036383865076,0.4966344131257888,0.4966344131257888,0.7879863885190117,0.2386669933839745,0.2386669933839745,0.7778600518326546,0.3383781341766433,0.3383781341766433,0.8095644748078565
