split,method_norm,accuracy_12feat,f1_macro_12feat,f1_entailment_12feat,f1_neutral_12feat,f1_contradiction_12feat,accuracy_16feat,f1_macro_16feat,f1_entailment_16feat,f1_neutral_16feat,f1_contradiction_16feat,accuracy_delta_16_minus_12,f1_macro_delta_16_minus_12,f1_entailment_delta_16_minus_12,f1_neutral_delta_16_minus_12,f1_contradiction_delta_16_minus_12
multinli_tr_1_1::validation_matched,BERT,0.6299316953817923,0.6189802204772034,0.6666666666666666,0.5141078030745281,0.6761661916904155,0.6299316953817923,0.6189802204772034,0.6666666666666666,0.5141078030745281,0.6761661916904155,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,Class_conditional_routing_computed,0.6871240697318789,0.6804168496833123,0.7576397690466131,0.5623287671232877,0.7212820128800359,0.6871240697318789,0.6804168496833123,0.7576397690466131,0.5623287671232877,0.7212820128800359,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,Gemma,0.4003466204506066,0.3505046128864049,0.5108695652173914,0.2209248014946286,0.3197194719471947,0.4003466204506066,0.3505046128864049,0.5108695652173914,0.2209248014946286,0.3197194719471947,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,Majority_vote,0.723009481088796,0.7155102659162562,0.745945945945946,0.6210166919575114,0.779568159845311,0.723009481088796,0.7155102659162562,0.745945945945946,0.6210166919575114,0.779568159845311,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,Meta_BiLSTM,0.7994698746049547,0.7988168123023663,0.8189806678383128,0.750236518448439,0.8272332506203474,0.800795188092568,0.8001962313819514,0.8204147668774819,0.7509433962264151,0.829230531041957,0.0013253134876133332,0.0013794190795850536,0.0014340990391691344,0.0007068777779761781,0.0019972804216096263
multinli_tr_1_1::validation_matched,Meta_FlatLSTM,0.8012029768579876,0.8005096484893416,0.8208802456499488,0.7509868940470551,0.8296618057710208,0.7994698746049547,0.7988713238991281,0.8195136243773806,0.7487421383647799,0.8283582089552238,-0.0017331022530329143,-0.0016383245902135135,-0.001366621272568147,-0.0022447556822752235,-0.001303596815796948
multinli_tr_1_1::validation_matched,Meta_LinearSVC,0.8015088184320522,0.8004267232608685,0.8200228180262408,0.7528198517563648,0.8284375,0.7999796105617291,0.7990122740002117,0.8193289360481789,0.7516413130504404,0.8260665729020159,-0.0015292078703231793,-0.0014144492606568138,-0.000693881978061861,-0.0011785387059244368,-0.0023709270979841435
multinli_tr_1_1::validation_matched,Meta_MLP,0.7986542970741156,0.7980299935524607,0.8187958883994126,0.7487018095987411,0.8265922826592282,0.8013049240493424,0.800692755684028,0.82063305978898,0.7518891687657431,0.829556038497361,0.0026506269752267775,0.0026627621315672423,0.0018371713895674047,0.0031873591670019685,0.0029637558381327977
multinli_tr_1_1::validation_matched,Qwen,0.7191354878173106,0.7147534313141786,0.7576397690466131,0.6169925826028321,0.7696279422930904,0.7191354878173106,0.7147534313141786,0.7576397690466131,0.6169925826028321,0.7696279422930904,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,Weighted_static_hand_weights,0.74900601488429,0.7416598438167422,0.7797619047619048,0.6381507098653076,0.8070669168230143,0.74900601488429,0.7416598438167422,0.7797619047619048,0.6381507098653076,0.8070669168230143,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_matched,mDeBERTa,0.789173208278112,0.7876880262708962,0.8088419296538301,0.7446983396350485,0.8095238095238095,0.789173208278112,0.7876880262708962,0.8088419296538301,0.7446983396350485,0.8095238095238095,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,BERT,0.6401017811704834,0.6295905609699347,0.6672678088367899,0.5254138266796494,0.6960900473933649,0.6401017811704834,0.6295905609699347,0.6672678088367899,0.5254138266796494,0.6960900473933649,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,Class_conditional_routing_computed,0.6944529262086514,0.6865964538307997,0.7622816593886463,0.56760514424748,0.7299025578562729,0.6944529262086514,0.6865964538307997,0.7622816593886463,0.56760514424748,0.7299025578562729,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,Gemma,0.4040712468193384,0.3542289008134802,0.5152149106124001,0.233705772811918,0.3137660190161224,0.4040712468193384,0.3542289008134802,0.5152149106124001,0.233705772811918,0.3137660190161224,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,Majority_vote,0.7321119592875318,0.7249211767636995,0.7518944023466145,0.6346300533943554,0.7882390745501285,0.7321119592875318,0.7249211767636995,0.7518944023466145,0.6346300533943554,0.7882390745501285,0.0,0.0,0.0,0.0,0.0
