method_norm,accuracy_12feat,accuracy_16feat,f1_macro_12feat,f1_macro_16feat,accuracy_delta_16_minus_12,f1_macro_delta_16_minus_12
Meta_BiLSTM,0.8387367757038853,0.8408002958421541,0.8382295955614154,0.8403020250811452,0.00206352013826872,0.0020724295197296345
Meta_MLP,0.8382232739794787,0.8400881983214372,0.8377318264209755,0.839582856038789,0.00186492434195848,0.0018510296178135398
Meta_FlatLSTM,0.8394467526313758,0.8394734229153349,0.8389136171026473,0.8389900526299424,2.6670283959039998e-05,7.643552729502006e-05
Meta_LinearSVC,0.8345321476506286,0.8343013736281168,0.8336900272602097,0.8335349093674009,-0.00023077402251167996,-0.00015511789280877952
