feature,importance,config,method
js_mdeberta_qwen,0.02144902242241293,multinli_tr_1_1,MLP_FirstLayerNorm
js_bert_qwen,0.019210888551273897,multinli_tr_1_1,MLP_FirstLayerNorm
qwen_p1,0.01862459546398508,multinli_tr_1_1,MLP_FirstLayerNorm
probs (9),0.31193801610765626,multinli_tr_1_1,MLP_PermutationImportance_eval
mean (3),0.13634417371801408,multinli_tr_1_1,MLP_PermutationImportance_eval
jsdiv (3),0.006076052604750725,multinli_tr_1_1,MLP_PermutationImportance_eval
margin (3),0.0030991946171882835,multinli_tr_1_1,MLP_PermutationImportance_eval
variance (3),0.0025486797838719212,multinli_tr_1_1,MLP_PermutationImportance_eval
mdeberta_probs,0.1417473748598226,multinli_tr_1_1,MLP_PerModel_PermImportance_eval
bert_probs,0.03174635538790904,multinli_tr_1_1,MLP_PerModel_PermImportance_eval
qwen_probs,0.012376389030482216,multinli_tr_1_1,MLP_PerModel_PermImportance_eval
mdeberta_p1,0.08941955470724688,multinli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p0,0.08746854767581613,multinli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p2,0.08473533858852232,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p1,0.07706010834953675,multinli_tr_1_1,LinearSVC_CoefNorm
mean_class1,0.06678973789726303,multinli_tr_1_1,LinearSVC_CoefNorm
var_class0,0.06483236090411175,multinli_tr_1_1,LinearSVC_CoefNorm
mean_class0,0.06425325488120329,multinli_tr_1_1,LinearSVC_CoefNorm
mean_class2,0.06413805478582267,multinli_tr_1_1,LinearSVC_CoefNorm
js_bert_qwen,0.051312920315682235,multinli_tr_1_1,LinearSVC_CoefNorm
js_mdeberta_qwen,0.05011325464285359,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p0,0.048281309811367995,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p2,0.048122944844603784,multinli_tr_1_1,LinearSVC_CoefNorm
var_class1,0.045383329912843016,multinli_tr_1_1,LinearSVC_CoefNorm
qwen_p2,0.035481867819394886,multinli_tr_1_1,LinearSVC_CoefNorm
qwen_p0,0.03452549751867027,multinli_tr_1_1,LinearSVC_CoefNorm
var_class2,0.030412286847374292,multinli_tr_1_1,LinearSVC_CoefNorm
js_bert_mdeberta,0.02105926905215489,multinli_tr_1_1,LinearSVC_CoefNorm
margin_mdeberta,0.011952584048222767,multinli_tr_1_1,LinearSVC_CoefNorm
margin_bert,0.010316797038570009,multinli_tr_1_1,LinearSVC_CoefNorm
margin_qwen,0.00855862612390304,multinli_tr_1_1,LinearSVC_CoefNorm
