split,method,row_kind,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
multinli_tr_1_1::validation_matched,Meta_LinearSVC_21feat,computed,0.7989601386481803,0.7981659116142383,0.8176137189362012,0.7517482517482518,0.8251357641582622
multinli_tr_1_1::validation_matched,Meta_MLP_21feat,computed,0.798348455500051,0.7977592329506443,0.8166323831913018,0.7497639282341831,0.8268813874264478
multinli_tr_1_1::validation_matched,Meta_BiLSTM_12feat,computed,0.7982465083086961,0.7974999205784519,0.8195378765720971,0.7473534523621426,0.8256084328011161
multinli_tr_1_1::validation_matched,Meta_FlatLSTM_21feat,computed,0.7963095116729534,0.7957334199650172,0.8164165931156222,0.7472907177634679,0.8234929490159616
multinli_tr_1_1::validation_matched,mDeBERTa,computed,0.789173208278112,0.7876880262708962,0.8088419296538301,0.7446983396350485,0.8095238095238095
multinli_tr_1_1::validation_matched,Majority_vote,computed,0.7703129778774594,0.7657461991030483,0.7970390309555855,0.6951758261176887,0.8050237402358708
multinli_tr_1_1::validation_matched,Weighted_static,computed,0.7341217249464778,0.729955879601924,0.7687333052158021,0.638499239479466,0.7826350941105039
multinli_tr_1_1::validation_matched,Qwen,computed,0.7191354878173106,0.7147534313141786,0.7576397690466131,0.6169925826028321,0.7696279422930904
multinli_tr_1_1::validation_matched,BERT,computed,0.6299316953817923,0.6189802204772034,0.6666666666666666,0.5141078030745281,0.6761661916904155
multinli_tr_1_1::validation_mismatched,Meta_MLP_21feat,computed,0.8108905852417303,0.8100365067896885,0.8312436950569246,0.7623888182973316,0.8364770070148091
multinli_tr_1_1::validation_mismatched,Meta_BiLSTM_12feat,computed,0.8107888040712469,0.8097941482407863,0.8323284524834912,0.7604465709728868,0.8366074212659806
multinli_tr_1_1::validation_mismatched,Meta_FlatLSTM_21feat,computed,0.8099745547073791,0.809081020889935,0.8298516063967728,0.7611013846888429,0.8362900715841892
multinli_tr_1_1::validation_mismatched,Meta_LinearSVC_21feat,computed,0.806615776081425,0.8055226232027003,0.8271640091116174,0.7566180009626183,0.8327858595338652
multinli_tr_1_1::validation_mismatched,mDeBERTa,computed,0.7979643765903308,0.7959550717731766,0.8213748804154708,0.7449030333167578,0.8215873015873015
multinli_tr_1_1::validation_mismatched,Majority_vote,computed,0.7721119592875318,0.7673285828427926,0.7933138763597771,0.6959326285611898,0.8127392436074108
multinli_tr_1_1::validation_mismatched,Weighted_static,computed,0.7427989821882952,0.7376576626454222,0.7735591368478558,0.6428942357625065,0.7965196153259044
multinli_tr_1_1::validation_mismatched,Qwen,computed,0.7263104325699745,0.7208204128505136,0.7622816593886463,0.619475138121547,0.7807044410413476
multinli_tr_1_1::validation_mismatched,BERT,computed,0.6401017811704834,0.6295905609699347,0.6672678088367899,0.5254138266796494,0.6960900473933649
snli_tr_1_1::test,Meta_BiLSTM_12feat,computed,0.8319421824104235,0.8315334757420748,0.8536405257716733,0.7881144990665837,0.8528454023879671
snli_tr_1_1::test,Meta_MLP_21feat,computed,0.8317385993485342,0.8312927967639041,0.8542432710692749,0.7869822485207101,0.8526528707017271
snli_tr_1_1::test,Meta_FlatLSTM_21feat,computed,0.8312296416938111,0.8307460749732165,0.8525169267000294,0.7870081199250468,0.8527131782945736
snli_tr_1_1::test,Meta_LinearSVC_21feat,computed,0.8285830618892508,0.8280361892534359,0.8519174041297936,0.7825543223385962,0.8496368412919177
snli_tr_1_1::test,Majority_vote,computed,0.7996742671009772,0.7969148137036078,0.8332654999321666,0.7372614107883817,0.8202175303902751
snli_tr_1_1::test,Weighted_static,computed,0.7582451140065146,0.7574717609072034,0.8079112122936825,0.685539403213466,0.7789646672144618
snli_tr_1_1::test,BERT,computed,0.7503053745928339,0.7422047571167939,0.7895578050079914,0.6495378927911275,0.787518573551263
snli_tr_1_1::test,Qwen,computed,0.7435871335504886,0.7427172879150307,0.8005685856432125,0.6651432053625838,0.7624400727392957
snli_tr_1_1::test,mDeBERTa,computed,0.7328990228013029,0.7287793005937235,0.7856396866840731,0.6795256916996048,0.7211725233974925
trglue_mnli::test_matched,Meta_BiLSTM_12feat,computed,0.8501332149200711,0.8500937414741246,0.8515830115830115,0.8424503882657464,0.8562478245736165
trglue_mnli::test_matched,Meta_MLP_21feat,computed,0.8488010657193605,0.8487648649790286,0.8505321610365572,0.8414172686618507,0.8543451652386781
trglue_mnli::test_matched,Meta_FlatLSTM_21feat,computed,0.8481349911190054,0.8480248222224449,0.8510769230769231,0.8401384083044983,0.8528591352859135
trglue_mnli::test_matched,Meta_LinearSVC_21feat,computed,0.8390319715808171,0.8389515176761279,0.8431001890359168,0.8300475866757308,0.8437067773167358
trglue_mnli::test_matched,Weighted_static,computed,0.8198268206039077,0.8190393743522358,0.8292608893610564,0.801307664366146,0.8265495693295052
trglue_mnli::test_matched,Qwen,computed,0.8156083481349912,0.8149914826526845,0.8230816077953715,0.7987024689133178,0.8231903712493643
trglue_mnli::test_matched,Majority_vote,computed,0.7986234458259325,0.7951604787910983,0.8215478437636126,0.7483996120271581,0.8155339805825242
trglue_mnli::test_matched,mDeBERTa,computed,0.7965142095914742,0.7934750701224781,0.8260869565217391,0.7508506616257089,0.8034875922199866
trglue_mnli::test_matched,BERT,computed,0.6591918294849023,0.6391899507363303,0.7219348525094366,0.49115646258503404,0.7044785371145204
trglue_mnli::test_mismatched,Meta_BiLSTM_12feat,computed,0.9015948790278833,0.901100467189004,0.9100792048454729,0.8797262617621899,0.9134959349593496
trglue_mnli::test_mismatched,Meta_MLP_21feat,computed,0.9013778886839535,0.9009246785866184,0.9092601209865053,0.8801229508196722,0.913390963953678
