model_id;tag;w_bert;w_mdeberta;w_gemma;w_qwen;accuracy;f1_macro;f1_entailment;f1_neutral;f1_contradiction;data_source
bert-base-turkish-cased-allnli_tr;individual-model;1.0;0.0;0.0;0.0;0.8731;0.8725;0.89;0.84;0.89;snli_tr_1_1::test
gemma-3-27b-it;individual-model;0.0;0.0;1.0;0.0;0.7428745928338762;0.7403292606844625;0.8232161874334398;0.6507656065959952;0.7470059880239521;snli_tr_1_1::test
mDeBERTa-v3-base-mnli-xnli;individual-model;0.0;1.0;0.0;0.0;0.7333061889250815;0.7292156218096406;0.7858448681117786;0.6800505848877648;0.7217514124293786;snli_tr_1_1::test
Meta_BiLSTM_12feat_snli_tr_1_1__test;stacking-meta-12feat;;;;;0.8353013029315961;0.8349034490058406;0.8563421828908555;0.790914747977598;0.8574534161490683;snli_tr_1_1::test
Meta_BiLSTM_16feat_entropy_snli_tr_1_1__test;stacking-meta-16feat;;;;;0.83560667752443;0.8352507624459786;0.8553329404832056;0.7924762941085031;0.8579430527462268;snli_tr_1_1::test
Meta_FlatLSTM_12feat_snli_tr_1_1__test;stacking-meta-12feat;;;;;0.8359120521172638;0.8355454967888768;0.8562168532704774;0.7921653971708379;0.8582542399253151;snli_tr_1_1::test
Meta_FlatLSTM_16feat_entropy_snli_tr_1_1__test;stacking-meta-16feat;;;;;0.8344869706840391;0.8341608156388296;0.8551601948914809;0.790134946486738;0.85718730553827;snli_tr_1_1::test
Meta_LinearSVC_12feat_snli_tr_1_1__test;stacking-meta-12feat;;;;;0.8277687296416938;0.8267480796220222;0.8536231884057971;0.7785021466051837;0.8481189038550859;snli_tr_1_1::test
Meta_LinearSVC_16feat_entropy_snli_tr_1_1__test;stacking-meta-16feat;;;;;0.8287866449511401;0.8278917446079106;0.8535031847133758;0.7811213177066836;0.8490507314036726;snli_tr_1_1::test
Meta_MLP_12feat_snli_tr_1_1__test;stacking-meta-12feat;;;;;0.8333672638436482;0.8329541119763304;0.8548649047689355;0.7886710239651417;0.8553264071949139;snli_tr_1_1::test
Meta_MLP_16feat_entropy_snli_tr_1_1__test;stacking-meta-16feat;;;;;0.8350977198697068;0.8346868178038118;0.8562582927908006;0.789727626459144;0.8580745341614907;snli_tr_1_1::test
Meta_GRU_12feat_snli_tr_1_1__test;stacking-meta-12feat;;;;;0.8416123778501629;0.8412644189516625;0.8646122389367606;0.7983895943016414;0.8607914236165852;snli_tr_1_1::test
Meta_GRU_16feat_entropy_snli_tr_1_1__test;stacking-meta-16feat;;;;;0.8381514657980456;0.8380229819058181;0.8617316396554242;0.7974315853844978;0.8549057206775327;snli_tr_1_1::test
Qwen2-7B-Instruct;individual-model;0.0;0.0;0.0;1.0;0.8187166962699822;0.8180519569700927;0.8259732266502539;0.8015959376133478;0.8265867066466767;trglue_mnli::test_matched
bert-base-turkish-cased-allnli_tr;individual-model;1.0;0.0;0.0;0.0;0.7501;0.7434;0.83;0.65;0.74;trglue_mnli::test_matched
gemma-3-27b-it;individual-model;0.0;0.0;1.0;0.0;0.8138321492007105;0.8121767314714585;0.8166948674562888;0.7638942123418935;0.8559411146161935;trglue_mnli::test_matched
mDeBERTa-v3-base-mnli-xnli;individual-model;0.0;1.0;0.0;0.0;0.7965142095914742;0.7935142625188152;0.8257396449704142;0.7511808048365766;0.803622337749455;trglue_mnli::test_matched
Optimised-Weighted-Ensemble;preset-ensemble-optimised;0.25;0.12;0.26;0.37;0.8408081705150977;0.8397434190631671;0.8503937007874016;0.8160412067696836;0.8527953496324158;trglue_mnli::test_matched
Weighted_static_hand_weights;preset-ensemble-hand-tuned;;;;;0.8138321492007105;0.8123139614442669;0.8223865448745832;0.7816222348269994;0.8329331046312178;trglue_mnli::test_matched
Meta_BiLSTM_12feat_trglue_mnli__test_matched;stacking-meta-12feat;;;;;0.8460257548845471;0.8459320806573882;0.8491499227202473;0.8382883656985737;0.8503579535533438;trglue_mnli::test_matched
Meta_BiLSTM_16feat_entropy_trglue_mnli__test_matched;stacking-meta-16feat;;;;;0.8511323268206039;0.8511011448611989;0.8525146559703796;0.8452934090517983;0.8554953695614188;trglue_mnli::test_matched
Meta_FlatLSTM_12feat_trglue_mnli__test_matched;stacking-meta-12feat;;;;;0.8465808170515098;0.8464462426493308;0.8505640550146809;0.838809564768622;0.8499651081646895;trglue_mnli::test_matched
Meta_FlatLSTM_16feat_entropy_trglue_mnli__test_matched;stacking-meta-16feat;;;;;0.8500222024866785;0.849986720931632;0.8514118191637093;0.8426501035196687;0.8558982401115177;trglue_mnli::test_matched
Meta_LinearSVC_12feat_trglue_mnli__test_matched;stacking-meta-12feat;;;;;0.8392539964476021;0.8390479624744859;0.8449781659388647;0.8266344661031568;0.8455312553814363;trglue_mnli::test_matched
Meta_LinearSVC_16feat_entropy_trglue_mnli__test_matched;stacking-meta-16feat;;;;;0.8390319715808171;0.8388126537131021;0.8452900810979413;0.8259220958290244;0.8452257842123406;trglue_mnli::test_matched
Meta_MLP_12feat_trglue_mnli__test_matched;stacking-meta-12feat;;;;;0.8481349911190054;0.8480981176106465;0.8497457235321313;0.84;0.8545486292998079;trglue_mnli::test_matched
Meta_MLP_16feat_entropy_trglue_mnli__test_matched;stacking-meta-16feat;;;;;0.8502442273534636;0.8501784401726087;0.8522114347357066;0.8427238161078465;0.8556000696742728;trglue_mnli::test_matched
Meta_GRU_12feat_trglue_mnli__test_matched;stacking-meta-12feat;;;;;0.8117229129662522;0.8094918221092967;0.8427653716732945;0.7717872968980797;0.8139227977565161;trglue_mnli::test_matched
Meta_GRU_16feat_entropy_trglue_mnli__test_matched;stacking-meta-16feat;;;;;0.8152753108348135;0.813430096873931;0.8421535637809727;0.7791970802919709;0.8189396465488495;trglue_mnli::test_matched
Qwen2-7B-Instruct;individual-model;0.0;0.0;0.0;1.0;0.879027883259195;0.8778044517319626;0.8926432191675626;0.851109520400859;0.8896606156274665;trglue_mnli::test_mismatched
bert-base-turkish-cased-allnli_tr;individual-model;1.0;0.0;0.0;0.0;0.8134;0.8068;0.89;0.72;0.81;trglue_mnli::test_mismatched
gemma-3-27b-it;individual-model;0.0;0.0;1.0;0.0;0.8716502115655853;0.8683433404627635;0.8749112594065029;0.8100344695518958;0.9200842924298914;trglue_mnli::test_mismatched
mDeBERTa-v3-base-mnli-xnli;individual-model;0.0;1.0;0.0;0.0;0.8424650103070414;0.838727005906308;0.8752969121140143;0.7867370007535796;0.8541471048513302;trglue_mnli::test_mismatched
Meta_BiLSTM_12feat_trglue_mnli__test_mismatched;stacking-meta-12feat;;;;;0.8998589562764457;0.8993843888979521;0.908271144278607;0.8776241679467486;0.9122578544685008;trglue_mnli::test_mismatched
Meta_BiLSTM_16feat_entropy_trglue_mnli__test_mismatched;stacking-meta-16feat;;;;;0.9034392969512856;0.9028882421126662;0.9131313131313132;0.8809605488850771;0.914572864321608;trglue_mnli::test_mismatched
Meta_FlatLSTM_12feat_trglue_mnli__test_mismatched;stacking-meta-12feat;;;;;0.9005099273082348;0.900010740626986;0.9097135740971356;0.8784823107161169;0.9118363370677058;trglue_mnli::test_mismatched
Meta_FlatLSTM_16feat_entropy_trglue_mnli__test_mismatched;stacking-meta-16feat;;;;;0.9013778886839536;0.9008128665483696;0.9115414407436097;0.878969957081545;0.9119272018199543;trglue_mnli::test_mismatched
Meta_LinearSVC_12feat_trglue_mnli__test_mismatched;stacking-meta-12feat;;;;;0.8964956059455355;0.895963856662313;0.9058141357154053;0.8731623931623932;0.9089150411091408;trglue_mnli::test_mismatched
Meta_LinearSVC_16feat_entropy_trglue_mnli__test_mismatched;stacking-meta-16feat;;;;;0.8962786156016057;0.8957405571807008;0.9057550572369452;0.8725222146274778;0.9089443996776791;trglue_mnli::test_mismatched
Meta_MLP_12feat_trglue_mnli__test_mismatched;stacking-meta-12feat;;;;;0.8999674514484105;0.8994803256071213;0.908271144278607;0.8786582235153175;0.9115116090274396;trglue_mnli::test_mismatched
Meta_MLP_16feat_entropy_trglue_mnli__test_mismatched;stacking-meta-16feat;;;;;0.9030053162634264;0.9024598585870164;0.9121611154144076;0.8815540656695892;0.913664394677053;trglue_mnli::test_mismatched
Meta_GRU_12feat_trglue_mnli__test_mismatched;stacking-meta-12feat;;;;;0.8700227839861127;0.8675850922592049;0.9010175763182239;0.8223072717331876;0.8794304287262033;trglue_mnli::test_mismatched
Meta_GRU_16feat_entropy_trglue_mnli__test_mismatched;stacking-meta-16feat;;;;;0.8706737550179017;0.8684930373298752;0.8988902589395809;0.8255288374615801;0.8810600155884646;trglue_mnli::test_mismatched
Weighted_static_hand_weights_all_splits_mean;preset-ensemble-hand-tuned;;;;;0.7931515900319684;0.78881618242716;;;;all_datasets_all_splits_mean
Meta_BiLSTM_12feat_all_splits_mean;stacking-meta-12feat;;;;;0.8387367757038853;0.8382295955614154;;;;all_datasets_all_splits_mean
Meta_BiLSTM_16feat_entropy_all_splits_mean;stacking-meta-16feat;;;;;0.8408002958421541;0.8403020250811452;;;;all_datasets_all_splits_mean
Meta_FlatLSTM_12feat_all_splits_mean;stacking-meta-12feat;;;;;0.8394467526313758;0.8389136171026473;;;;all_datasets_all_splits_mean
Meta_FlatLSTM_16feat_entropy_all_splits_mean;stacking-meta-16feat;;;;;0.8394734229153349;0.8389900526299424;;;;all_datasets_all_splits_mean
Meta_LinearSVC_12feat_all_splits_mean;stacking-meta-12feat;;;;;0.8345321476506286;0.8336900272602097;;;;all_datasets_all_splits_mean
Meta_LinearSVC_16feat_entropy_all_splits_mean;stacking-meta-16feat;;;;;0.8343013736281168;0.8335349093674009;;;;all_datasets_all_splits_mean
Meta_MLP_12feat_all_splits_mean;stacking-meta-12feat;;;;;0.8382232739794787;0.8377318264209755;;;;all_datasets_all_splits_mean
Meta_MLP_16feat_entropy_all_splits_mean;stacking-meta-16feat;;;;;0.8400881983214372;0.839582856038789;;;;all_datasets_all_splits_mean
Meta_GRU_12feat_all_splits_mean;stacking-meta-12feat;;;;;0.7964634537071331;0.7968901916385102;;;;all_datasets_all_splits_mean
Meta_GRU_16feat_entropy_all_splits_mean;stacking-meta-16feat;;;;;0.8247941780205585;0.8236923123786358;;;;all_datasets_all_splits_mean
