split,method,row_kind,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
multinli_tr_1_1::validation_matched,Meta_LinearSVC_train_only_12feat,computed,0.8015088184320522,0.8004267232608685,0.8200228180262408,0.7528198517563648,0.8284375
multinli_tr_1_1::validation_matched,Meta_FlatLSTM_train_only_12feat,computed,0.8012029768579876,0.8005096484893416,0.8208802456499488,0.7509868940470551,0.8296618057710208
multinli_tr_1_1::validation_matched,Meta_BiLSTM_train_only_12feat,computed,0.7994698746049547,0.7988168123023663,0.8189806678383128,0.750236518448439,0.8272332506203474
multinli_tr_1_1::validation_matched,Meta_MLP_train_only_12feat,computed,0.7986542970741156,0.7980299935524607,0.8187958883994126,0.7487018095987411,0.8265922826592282
multinli_tr_1_1::validation_matched,mDeBERTa,computed,0.789173208278112,0.7876880262708962,0.8088419296538301,0.7446983396350485,0.8095238095238095
multinli_tr_1_1::validation_matched,Weighted_static_hand_weights,computed,0.74900601488429,0.7416598438167422,0.7797619047619048,0.6381507098653076,0.8070669168230143
multinli_tr_1_1::validation_matched,Majority_vote,computed,0.723009481088796,0.7155102659162562,0.745945945945946,0.6210166919575114,0.779568159845311
multinli_tr_1_1::validation_matched,Qwen,computed,0.7191354878173106,0.7147534313141786,0.7576397690466131,0.6169925826028321,0.7696279422930904
multinli_tr_1_1::validation_matched,Class_conditional_routing_computed,computed,0.6871240697318789,0.6804168496833123,0.7576397690466131,0.5623287671232877,0.7212820128800359
multinli_tr_1_1::validation_matched,BERT,computed,0.6299316953817923,0.6189802204772034,0.6666666666666666,0.5141078030745281,0.6761661916904155
multinli_tr_1_1::validation_matched,Gemma,computed,0.4003466204506066,0.35050461288640494,0.5108695652173914,0.22092480149462868,0.31971947194719474
multinli_tr_1_1::validation_matched,REF_published_static_weighted_84.08pct,reference_published,,,,,
multinli_tr_1_1::validation_mismatched,Meta_BiLSTM_train_only_12feat,computed,0.813027989821883,0.8121112469435298,0.8317770435282287,0.7647622087456112,0.8397944885567492
multinli_tr_1_1::validation_mismatched,Meta_FlatLSTM_train_only_12feat,computed,0.813027989821883,0.8120559569587017,0.8334768877404536,0.7626037013401404,0.8400872817955112
multinli_tr_1_1::validation_mismatched,Meta_MLP_train_only_12feat,computed,0.8109923664122137,0.8100965833583184,0.8317770435282287,0.7617684478371501,0.8367442587095766
multinli_tr_1_1::validation_mismatched,Meta_LinearSVC_train_only_12feat,computed,0.8076335877862595,0.8062635142813591,0.8275283256399496,0.7567479674796748,0.8345142497244529
multinli_tr_1_1::validation_mismatched,mDeBERTa,computed,0.7979643765903308,0.7959550717731766,0.8213748804154708,0.7449030333167578,0.8215873015873015
multinli_tr_1_1::validation_mismatched,Weighted_static_hand_weights,computed,0.7539949109414759,0.7457475296593484,0.7844030889986074,0.640074211502783,0.8127652884766546
multinli_tr_1_1::validation_mismatched,Majority_vote,computed,0.7321119592875318,0.7249211767636995,0.7518944023466145,0.6346300533943554,0.7882390745501285
multinli_tr_1_1::validation_mismatched,Qwen,computed,0.7263104325699745,0.7208204128505136,0.7622816593886463,0.619475138121547,0.7807044410413476
multinli_tr_1_1::validation_mismatched,Class_conditional_routing_computed,computed,0.6944529262086514,0.6865964538307997,0.7622816593886463,0.56760514424748,0.7299025578562729
multinli_tr_1_1::validation_mismatched,BERT,computed,0.6401017811704834,0.6295905609699347,0.6672678088367899,0.5254138266796494,0.6960900473933649
multinli_tr_1_1::validation_mismatched,Gemma,computed,0.4040712468193384,0.3542289008134802,0.5152149106124001,0.23370577281191807,0.3137660190161224
multinli_tr_1_1::validation_mismatched,REF_published_static_weighted_84.08pct,reference_published,,,,,
snli_tr_1_1::test,Meta_FlatLSTM_train_only_12feat,computed,0.8359120521172638,0.8355454967888768,0.8562168532704774,0.7921653971708379,0.8582542399253151
snli_tr_1_1::test,Meta_BiLSTM_train_only_12feat,computed,0.8353013029315961,0.8349034490058406,0.8563421828908555,0.790914747977598,0.8574534161490683
snli_tr_1_1::test,Meta_MLP_train_only_12feat,computed,0.8333672638436482,0.8329541119763304,0.8548649047689355,0.7886710239651417,0.8553264071949139
snli_tr_1_1::test,Meta_LinearSVC_train_only_12feat,computed,0.8277687296416938,0.8267480796220222,0.8536231884057971,0.7785021466051837,0.8481189038550859
snli_tr_1_1::test,Majority_vote,computed,0.7838965798045603,0.7807375987058994,0.809609919917334,0.7137000341646738,0.8189028420356906
snli_tr_1_1::test,Weighted_static_hand_weights,computed,0.7790105863192183,0.7765460845286585,0.8200724540453509,0.7016298208810715,0.8079359786595531
snli_tr_1_1::test,BERT,computed,0.7503053745928339,0.7422047571167939,0.7895578050079914,0.6495378927911275,0.787518573551263
snli_tr_1_1::test,Qwen,computed,0.7435871335504886,0.7427172879150307,0.8005685856432125,0.6651432053625838,0.7624400727392957
snli_tr_1_1::test,mDeBERTa,computed,0.7328990228013029,0.7287793005937235,0.7856396866840731,0.6795256916996048,0.7211725233974925
snli_tr_1_1::test,Class_conditional_routing_computed,computed,0.7198697068403909,0.7182095333970414,0.8005685856432125,0.6357336547152757,0.7183263598326359
snli_tr_1_1::test,Gemma,computed,0.45796009771986973,0.4344311183566701,0.5331394140868482,0.3965322276667923,0.3736217133163698
snli_tr_1_1::test,REF_published_static_weighted_84.08pct,reference_published,,,,,
trglue_mnli::test_matched,Meta_MLP_train_only_12feat,computed,0.8481349911190054,0.8480981176106465,0.8497457235321313,0.84,0.8545486292998079
trglue_mnli::test_matched,Meta_FlatLSTM_train_only_12feat,computed,0.8465808170515098,0.8464462426493308,0.8505640550146809,0.838809564768622,0.8499651081646895
