feature,importance,config,method
qwen_p0,0.09341704092004828,trglue_mnli,MLP_FirstLayerNorm
mdeberta_p2,0.09210049966569361,trglue_mnli,MLP_FirstLayerNorm
mdeberta_p0,0.08563642892214669,trglue_mnli,MLP_FirstLayerNorm
bert_p2,0.07667304783180112,trglue_mnli,MLP_FirstLayerNorm
bert_p0,0.07609800593487565,trglue_mnli,MLP_FirstLayerNorm
gemma_p0,0.044386940406451976,trglue_mnli,MLP_FirstLayerNorm
gemma_p2,0.036958357539261306,trglue_mnli,MLP_FirstLayerNorm
gemma_p1,0.03420815726159601,trglue_mnli,MLP_FirstLayerNorm
qwen_block,0.17031527531083485,trglue_mnli,MLP_PermutationImportance_eval
mdeberta_block,0.10925843694493784,trglue_mnli,MLP_PermutationImportance_eval
bert_block,0.016585257548845524,trglue_mnli,MLP_PermutationImportance_eval
gemma_block,0.0017317939609236444,trglue_mnli,MLP_PermutationImportance_eval
qwen_block,0.15091030195381888,trglue_mnli,BiLSTM_PermutationImportance_eval
mdeberta_block,0.09131882770870343,trglue_mnli,BiLSTM_PermutationImportance_eval
bert_block,0.024333925399644785,trglue_mnli,BiLSTM_PermutationImportance_eval
gemma_block,-0.000555062166962661,trglue_mnli,BiLSTM_PermutationImportance_eval
qwen_p1,0.1914656744266926,trglue_mnli,LinearSVC_CoefNorm
qwen_p2,0.15496271977652268,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p0,0.12281385832340397,trglue_mnli,LinearSVC_CoefNorm
qwen_p0,0.11682976868167826,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p2,0.103515389995606,trglue_mnli,LinearSVC_CoefNorm
mdeberta_p1,0.10210090114100606,trglue_mnli,LinearSVC_CoefNorm
bert_p1,0.07855565578269796,trglue_mnli,LinearSVC_CoefNorm
bert_p2,0.05248023207335205,trglue_mnli,LinearSVC_CoefNorm
bert_p0,0.04758694296718251,trglue_mnli,LinearSVC_CoefNorm
gemma_p2,0.0138250081787631,trglue_mnli,LinearSVC_CoefNorm
gemma_p1,0.009653728451310212,trglue_mnli,LinearSVC_CoefNorm
gemma_p0,0.00621012020178465,trglue_mnli,LinearSVC_CoefNorm
